,0
0,1814.825
1,1846.64
2,1541.36
3,1421.4
4,1256.97
5,1212.2
6,1147.93
7,1153.19
8,1161.055
9,1137.83
10,1268.955
11,1329.32
12,1398.995
13,1318.61
14,1286.965
15,1762.035
16,1612.32
17,1406.365
18,1307.62
19,1130.42
20,1089.45
21,1207.32
22,1266.58
23,1271.465
24,1259.115
25,1109.995
26,1108.02
27,1146.68
28,1203.1
29,1206.455
30,1129.83
31,1107.88
32,1170.58
33,1094.64
34,1080.885
35,1176.435
36,1287.535
37,1379.615
38,1284.895
39,1127.075
40,1233.735
41,1412.06
42,1357.255
43,1222.53
44,1108.38
45,1086.0
46,1096.555
47,1039.05
48,1028.92
49,1071.23
50,1104.335
51,1496.935
52,1463.2
53,1267.96
54,1055.065
55,1056.91
56,1070.55
57,1066.14
58,1067.345
59,1053.645
60,1059.58
61,1014.825
62,998.03
63,1065.695
64,1040.705
65,1082.415
66,1101.75
67,1054.975
68,1023.645
69,994.16
70,1055.36
71,1032.62
72,1052.005
73,1093.835
74,1076.82
75,1031.76
76,1009.58
77,1078.545
78,1065.005
79,1076.465
80,1119.455
81,1092.865
82,1065.235
83,1052.345
84,1118.63
85,1069.31
86,1064.815
87,1069.095
88,1072.42
89,1052.315
90,1009.525
91,1126.905
92,1063.825
93,1067.455
94,1104.34
95,1139.62
96,1153.24
97,1080.05
98,1072.6
99,1085.12
100,1119.135
101,1159.8
102,1195.055
103,1033.32
104,1035.915
105,1091.545
106,1100.295
107,1148.045
108,1086.88
109,1071.25
110,1080.44
111,1034.32
112,1092.045
113,1116.025
114,1111.645
115,1118.965
116,1115.92
117,1117.975
118,1112.23
119,1162.29
120,1259.36
121,1326.27
122,1282.285
123,1147.365
124,1157.855
125,1135.305
126,1247.185
127,1304.885
128,1297.87
129,1310.08
130,1320.445
131,1329.24
132,1301.155
133,1314.86
134,1309.715
135,1293.015
136,1392.55
137,1383.315
138,1299.755
139,1149.77
140,1246.91
141,1323.735
142,1337.745
143,1390.47
144,1422.64
145,1468.6
146,1471.01
147,1460.295
148,1535.385
149,1537.325
150,1493.93
151,1506.37
152,1546.65
153,1422.96
154,1329.065
155,1493.91
156,1524.27
157,1501.74
158,1395.45
159,1432.93
160,1436.78
161,1525.89
162,1504.235
163,1501.365
164,1497.95
165,1489.125
166,1446.34
167,1406.165
168,1468.515
169,1388.51
170,1394.62
171,1524.365
172,1564.61
173,1550.475
174,1536.595
175,1491.745
176,1547.175
177,1575.065
178,1596.615
179,1558.88
180,1443.23
181,1444.385
182,1536.275
183,1537.12
184,1458.705
185,1380.275
186,1412.1
187,1362.105
188,1359.595
189,1342.825
190,1395.27
191,1477.695
192,1495.56
193,1488.045
194,1498.7
195,1465.355
196,1530.455
197,1541.83
198,1596.525
199,1651.86
200,1651.065
201,1593.415
202,1593.43
203,1615.65
204,1604.08
205,1574.255
206,1529.975
207,1510.965
208,1510.705
209,1553.7
210,1444.275
211,1361.25
212,1433.635
213,1436.575
214,1492.21
215,1448.605
216,1428.185
217,1471.57
218,1530.52
219,1560.875
220,1431.985
221,1312.36
222,1285.925
223,1276.21
224,1286.465
225,1357.625
226,1456.28
227,1501.765
228,1515.075
229,1473.84
230,1393.825
231,1436.725
232,1481.31
233,1502.935
234,1535.545
235,1516.245
236,1486.695
237,1474.235
238,1525.78
239,1540.5
240,1544.245
241,1551.225
242,1520.535
243,1470.385
244,1402.54
245,1329.87
246,1276.045
247,1315.3
248,1291.87
249,1289.975
250,1194.72
251,1159.635
252,1207.185
253,1226.245
254,1300.825
255,1305.34
256,1288.99
257,1234.565
258,1227.75
259,1300.185
260,1322.225
261,1348.215
262,1323.295
263,1291.955
264,1100.125
265,1103.51
266,1218.64
267,1270.32
268,1196.77
269,1138.365
270,1170.725
271,1186.745
272,1199.815
273,1239.78
274,1268.135
275,1279.145
276,1275.025
277,1300.395
278,1212.48
279,1204.505
280,1162.625
281,1099.065
282,1017.125
283,1009.135
284,1100.205
285,1131.64
286,1126.56
287,1247.405
288,1272.74
289,1196.25
290,1155.575
291,1134.62
292,1061.47
293,1057.385
294,1103.965
295,1104.53
296,1097.49
297,1073.87
298,1114.18
299,1066.125
300,1045.505
301,1102.865
302,1111.41
303,1100.575
304,1134.475
305,1063.725
306,1062.775
307,1059.15
308,1104.38
309,1109.08
310,1108.365
311,1167.42
312,1177.45
313,1171.48
314,1101.895
315,1344.995
316,1458.01
317,1392.17
318,1291.755
319,1167.79
320,1124.63
321,1224.64
322,1219.935
323,1213.785
324,1218.325
325,1100.265
326,1051.9
327,1090.36
328,1134.105
329,1249.71
330,1240.4
331,1147.575
332,1159.685
333,1117.8
